"device_id","datetime","CO","status1","CO2","status2","NOx","status3","O3","status4","PM2_5","status5","AQHI","status6","NO2","status7","NO","status8"
"30005","2018-02-02 03:56:33","305.378",NULL,NULL,NULL,NULL,NULL,"32.0016",NULL,"2.76",NULL,NULL,NULL,"3.49176",NULL,"11.9737",NULL
"30005","2018-02-02 03:59:33","300.61",NULL,NULL,NULL,NULL,NULL,"32.6083",NULL,"1.95",NULL,NULL,NULL,"3.15114",NULL,"12.0817",NULL
"30005","2018-02-02 04:03:33","297.31",NULL,NULL,NULL,NULL,NULL,"32.9908",NULL,"1.83",NULL,NULL,NULL,"2.56054",NULL,"12.1582",NULL
"30005","2018-02-02 04:15:47","1307.28",NULL,NULL,NULL,NULL,NULL,"32.0693",NULL,"3.02",NULL,NULL,NULL,"11.8857",NULL,"38.6529",NULL
"30005","2018-02-02 04:16:45","339.849",NULL,NULL,NULL,NULL,NULL,"31.2465",NULL,"1.31",NULL,NULL,NULL,"5.44753",NULL,"12.8608",NULL
"30005","2018-02-02 04:20:45","221.814",NULL,NULL,NULL,NULL,NULL,"32.6711",NULL,"1.3",NULL,NULL,NULL,"1.75485",NULL,"11.9312",NULL
"30005","2018-02-02 04:23:46","297.377",NULL,NULL,NULL,NULL,NULL,"36.5587",NULL,"1.01",NULL,NULL,NULL,"-3.95928",NULL,"10.7715",NULL
"30005","2018-02-02 04:24:46","296.42",NULL,NULL,NULL,NULL,NULL,"35.8426",NULL,"0.05",NULL,NULL,NULL,"-3.66408",NULL,"10.5352",NULL
"30005","2018-02-02 04:27:45","240.724",NULL,NULL,NULL,NULL,NULL,"30.619",NULL,"0.57",NULL,NULL,NULL,"-1.15212",NULL,"9.70187",NULL
"30005","2018-02-02 04:29:46","204.074",NULL,NULL,NULL,NULL,NULL,"27.8784",NULL,"0.6",NULL,NULL,NULL,"0.206464",NULL,"9.20218",NULL
"30005","2018-02-02 04:30:45","189.556",NULL,NULL,NULL,NULL,NULL,"26.9683",NULL,"0.23",NULL,NULL,NULL,"0.650852",NULL,"8.86133",NULL
"30005","2018-02-02 04:34:45","131.933",NULL,NULL,NULL,NULL,NULL,"20.9748",NULL,"0.15",NULL,NULL,NULL,"3.82534",NULL,"8.16231",NULL
"30005","2018-02-02 04:38:46","104.879",NULL,NULL,NULL,NULL,NULL,"16.8789",NULL,"0.1",NULL,NULL,NULL,"5.95369",NULL,"7.64004",NULL
"30005","2018-02-02 04:40:45","97.7324",NULL,NULL,NULL,NULL,NULL,"15.2597",NULL,"0.44",NULL,NULL,NULL,"6.77867",NULL,"7.61143",NULL
"30005","2018-02-02 04:44:45","92.1872",NULL,NULL,NULL,NULL,NULL,"12.0424",NULL,"0",NULL,NULL,NULL,"8.30402",NULL,"7.51296",NULL
"30005","2018-02-02 04:48:45","93.3548",NULL,NULL,NULL,NULL,NULL,"7.89444",NULL,"0",NULL,NULL,NULL,"10.0173",NULL,"7.46412",NULL
"30005","2018-02-02 04:51:45","96.08",NULL,NULL,NULL,NULL,NULL,"8.27749",NULL,"0.01",NULL,NULL,NULL,"10.0186",NULL,"7.41554",NULL
"30005","2018-02-02 05:03:35","105.232",NULL,NULL,NULL,NULL,NULL,"4.10716",NULL,"0",NULL,NULL,NULL,"11.5868",NULL,"7.30407",NULL
"30005","2018-02-02 05:04:34","102.792",NULL,NULL,NULL,NULL,NULL,"3.35464",NULL,"0.03",NULL,NULL,NULL,"11.8109",NULL,"7.38269",NULL
"30005","2018-02-02 05:14:34","118.314",NULL,NULL,NULL,NULL,NULL,"2.73941",NULL,"0.03",NULL,NULL,NULL,"11.9015",NULL,"7.41572",NULL
"30005","2018-02-02 05:25:36","129.706",NULL,NULL,NULL,NULL,NULL,"1.76132",NULL,"0",NULL,NULL,NULL,"12.454",NULL,"7.54743",NULL
"30005","2018-02-02 05:27:39","128.065",NULL,NULL,NULL,NULL,NULL,"3.27156",NULL,"0",NULL,NULL,NULL,"11.5063",NULL,"7.6463",NULL
"30005","2018-02-02 05:28:34","127.328",NULL,NULL,NULL,NULL,NULL,"4.47335",NULL,"0.02",NULL,NULL,NULL,"10.947",NULL,"7.56535",NULL
"30005","2018-02-02 05:43:13","149.117",NULL,NULL,NULL,NULL,NULL,"1.08134",NULL,"0.44",NULL,NULL,NULL,"13.4656",NULL,"7.26298",NULL
"30005","2018-02-02 05:45:12","123.47",NULL,NULL,NULL,NULL,NULL,"1.68741",NULL,"0",NULL,NULL,NULL,"12.7574",NULL,"7.50988",NULL
"30005","2018-02-02 05:46:12","126.606",NULL,NULL,NULL,NULL,NULL,"3.33904",NULL,"0.52",NULL,NULL,NULL,"11.7931",NULL,"7.57716",NULL
